gene,region,coef_logit_vs_isocortex
Gabra1,ctxsp,-1.0922124068367274
Gabra1,hpf,-0.8984619176916593
Gabra1,hy,-0.6214701328006339
Gabra1,mb,-0.8151575012272989
Gabra1,my,-1.4563885230388682
Gabra1,olf,-1.543402794690477
Gabra1,p,-1.7727539452452115
Gabra1,pal,-0.9372841668458853
Gabra1,str,-0.5626534316178636
Gabra1,th,-0.7264470601985257
Gabra2,ctxsp,-0.18951063789196498
Gabra2,hpf,-0.24263511080074318
Gabra2,hy,-0.3058474239822372
Gabra2,mb,-0.8053300550564666
Gabra2,my,-1.539605663135546
Gabra2,olf,0.189222455933473
Gabra2,p,-1.405116786220432
Gabra2,pal,-0.43976593013278625
Gabra2,str,0.20765724677904773
Gabra2,th,-0.792106874982944
Gabra3,ctxsp,-0.43896226111244685
Gabra3,hpf,-0.9530571517780426
Gabra3,hy,-0.058967444224697824
Gabra3,mb,-0.41378973708725475
Gabra3,my,-0.9731852704406422
Gabra3,olf,-0.8649037573730772
Gabra3,p,-1.283499916086874
Gabra3,pal,-0.5096385596080979
Gabra3,str,-0.5035213125500038
Gabra3,th,-0.6467480396267087
Gabrb1,ctxsp,-0.2697469615341671
Gabrb1,hpf,-0.40587752377560665
Gabrb1,hy,-0.26851078844581006
Gabrb1,mb,-0.7263183754836516
Gabrb1,my,-1.7273923366518913
Gabrb1,olf,-1.1456780908425634
Gabrb1,p,-1.494687786231354
Gabrb1,pal,-0.7210631633405019
Gabrb1,str,0.029146705253258895
Gabrb1,th,-0.7684442203519936
Gabrb2,ctxsp,-0.8419364867655363
Gabrb2,hpf,-0.7672379350142402
Gabrb2,hy,-0.5226145767730461
Gabrb2,mb,-0.7550418678837556
Gabrb2,my,-1.370707897658298
Gabrb2,olf,-1.2247573363934374
Gabrb2,p,-1.6614982542238024
Gabrb2,pal,-0.6865435088964763
Gabrb2,str,-0.2472627082089212
Gabrb2,th,-0.6016700225996411
Gabrg2,ctxsp,-0.9847904590612552
Gabrg2,hpf,-0.8056037743942696
Gabrg2,hy,-0.3039312970378549
Gabrg2,mb,-0.6485432539468325
Gabrg2,my,-1.0736296979326212
Gabrg2,olf,-0.43727551377724205
Gabrg2,p,-1.5885691168018423
Gabrg2,pal,-0.6678815312668771
Gabrg2,str,-0.2667587453012972
Gabrg2,th,-0.5686698762330636
Htr1a,ctxsp,-0.1059918595583059
Htr1a,hpf,0.37020020566198075
Htr1a,hy,-0.21802220932995897
Htr1a,mb,-0.23753319985771504
Htr1a,my,-0.9278022462079366
Htr1a,olf,-1.1465972819152541
Htr1a,p,-0.9089545097294721
Htr1a,pal,-0.37403146126165254
Htr1a,str,-0.2894258720242787
Htr1a,th,-1.9082813004013799
Htr2a,ctxsp,-0.6319314077896073
Htr2a,hpf,-1.1994620941173206
Htr2a,hy,-0.8507108510465903
Htr2a,mb,-1.3905051202014818
Htr2a,my,-1.8541966605028293
Htr2a,olf,-1.0158173701428699
Htr2a,p,-1.604873091129543
Htr2a,pal,-1.0898361004081354
Htr2a,str,-0.8442723159648816
Htr2a,th,-2.2591661926042392
Htr2c,ctxsp,0.8676737124562243
Htr2c,hpf,0.26057450865034176
Htr2c,hy,1.2835352050870785
Htr2c,mb,1.4771172726187516
Htr2c,my,0.8478874113392334
Htr2c,olf,0.24101340754568984
Htr2c,p,0.6610312007546488
Htr2c,pal,1.3577964162818992
Htr2c,str,1.8171491170943912
Htr2c,th,1.1526531186710163
Htr7,ctxsp,-0.6297790249800215
Htr7,hpf,-0.21412957095369897
Htr7,hy,0.9221895910031602
Htr7,mb,0.3626099587944762
Htr7,my,0.024543600863035493
Htr7,olf,-0.48604342857261723
Htr7,p,-0.30773015719385743
Htr7,pal,0.07831485594993413
Htr7,str,0.26409719766634765
Htr7,th,1.1571568728008164
Drd1,ctxsp,0.7543781370209033
Drd1,hpf,-0.7719881104643195
Drd1,hy,-0.719184730467209
Drd1,mb,-0.9491200137106276
Drd1,my,-2.3702844471660898
Drd1,olf,-0.927410551178351
Drd1,p,-1.5812025245507995
Drd1,pal,0.6850383213127903
Drd1,str,0.9960429154061333
Drd1,th,-0.7161198775973294
Drd2,ctxsp,1.5569137899219072
Drd2,hpf,0.022407716347058765
Drd2,hy,1.941550939608699
Drd2,mb,2.2529031802112507
Drd2,my,1.707610701129696
Drd2,olf,-0.3461093808470023
Drd2,p,1.3861429075047909
Drd2,pal,2.1109044575459266
Drd2,str,2.774467361275235
Drd2,th,2.240084184646132
Drd3,ctxsp,3.365951387056112
Drd3,hpf,0.9354282734734476
Drd3,hy,3.9691268711181107
Drd3,mb,2.8841626956965585
Drd3,my,1.8384736747734696
Drd3,olf,2.12648877020764
Drd3,p,2.3333489661189306
Drd3,pal,5.306545477130214
Drd3,str,5.0530485537116325
Drd3,th,3.9864431238806715
Drd4,ctxsp,-1.1117281980977542
Drd4,hpf,-1.016436993332759
Drd4,hy,-1.7545278049313116
Drd4,mb,-1.2639524856597892
Drd4,my,-1.0100631508767046
Drd4,olf,-1.3376473868774037
Drd4,p,-1.7020160952632861
Drd4,pal,-1.509756535742451
Drd4,str,-1.6004574976589727
Drd4,th,0.5560397012481256
Oprk1,ctxsp,0.858593676912353
Oprk1,hpf,-1.2991334966362107
Oprk1,hy,1.6613518980324515
Oprk1,mb,1.0603128382003986
Oprk1,my,0.5447079281216428
Oprk1,olf,-0.7261541200078465
Oprk1,p,0.6356886344782264
Oprk1,pal,1.4547347801904147
Oprk1,str,1.6138069463809586
Oprk1,th,1.1719565013721973
Oprm1,ctxsp,-0.2240125904569697
Oprm1,hpf,-0.9317483257921872
Oprm1,hy,0.03908466446701535
Oprm1,mb,-0.23511712259645232
Oprm1,my,-0.6892586616228533
Oprm1,olf,0.04778923271366611
Oprm1,p,-1.0769670869799155
Oprm1,pal,-0.1743048636286063
Oprm1,str,-0.07790999702234726
Oprm1,th,-0.3045879181096374
Oprd1,ctxsp,-0.8154372457603473
Oprd1,hpf,-0.7413052361695441
Oprd1,hy,-1.1282355056680133
Oprd1,mb,-1.7922777447934584
Oprd1,my,-1.4828670352844888
Oprd1,olf,-0.23592921580481246
Oprd1,p,-1.7288339423884032
Oprd1,pal,-1.0817483381866786
Oprd1,str,-0.41207963454651275
Oprd1,th,-2.7824975151992986
Grin1,ctxsp,-0.9805472541812339
Grin1,hpf,-0.8048118210616658
Grin1,hy,-0.45740168036675005
Grin1,mb,-0.8039031541762697
Grin1,my,-1.0951370965518108
Grin1,olf,-0.11582348475314867
Grin1,p,-1.6871652309549712
Grin1,pal,-0.7158741770961493
Grin1,str,-0.21427546570510916
Grin1,th,-0.59866407243957
Grin2a,ctxsp,-1.1557265167817552
Grin2a,hpf,-0.6821884914613663
Grin2a,hy,-1.0055036534558888
Grin2a,mb,-1.117072407862585
Grin2a,my,-1.5935071666971972
Grin2a,olf,-0.5007500254952131
Grin2a,p,-2.002690116810787
Grin2a,pal,-1.0414765129977575
Grin2a,str,-0.5110348438699297
Grin2a,th,-0.8292436653503168
Grin2b,ctxsp,-0.49404475581886487
Grin2b,hpf,-0.47266052611752074
Grin2b,hy,-0.5900052467059084
Grin2b,mb,-0.9377227061949995
Grin2b,my,-1.6368565283053238
Grin2b,olf,0.14735342796086928
Grin2b,p,-1.8506560932638092
Grin2b,pal,-0.7471460871852827
Grin2b,str,-0.043159756588019
Grin2b,th,-0.7806297183393534
Gria1,ctxsp,-0.6466915394583126
Gria1,hpf,-0.33768765473459994
Gria1,hy,0.06272829642651306
Gria1,mb,-0.3872745610164892
Gria1,my,-1.5702561553819847
Gria1,olf,0.12634907633633666
Gria1,p,-1.4915582512784793
Gria1,pal,-0.22214048291967606
Gria1,str,0.2751940222743302
Gria1,th,-0.570560238571524
Gria2,ctxsp,-0.36909610003841964
Gria2,hpf,-0.4453278351354551
Gria2,hy,-0.5187197281893339
Gria2,mb,-0.9009452136595353
Gria2,my,-1.4080224296273727
Gria2,olf,0.03287725270985426
Gria2,p,-1.6994801241639659
Gria2,pal,-0.644948897165025
Gria2,str,0.12303037185323536
Gria2,th,-0.9070242866218922
Adra2a,ctxsp,0.5432585923622043
Adra2a,hpf,0.10740378179981976
Adra2a,hy,0.5556403238447863
Adra2a,mb,0.33228468211243395
Adra2a,my,0.012549553211152175
Adra2a,olf,-0.16844468437187268
Adra2a,p,0.28390531253783036
Adra2a,pal,-0.23670880065083907
Adra2a,str,0.09873096067324243
Adra2a,th,-0.6159951204670442
Adra2c,ctxsp,-0.0816518565313405
Adra2c,hpf,-0.03675230745651209
Adra2c,hy,-0.667790593360572
Adra2c,mb,-0.9502160296250354
Adra2c,my,-1.0592882988565906
Adra2c,olf,-0.8109752320132537
Adra2c,p,-1.38116333733507
Adra2c,pal,-0.10016483903380306
Adra2c,str,0.25350550497257734
Adra2c,th,-1.503417050210688
Chrna4,ctxsp,-0.19264565261931152
Chrna4,hpf,-0.40051945243166526
Chrna4,hy,-0.714815818899338
Chrna4,mb,-0.07073220666823422
Chrna4,my,-0.9028475019480154
Chrna4,olf,-1.5797995642573306
Chrna4,p,-0.7164846334070405
Chrna4,pal,-1.1254365773905572
Chrna4,str,-1.2139992473646226
Chrna4,th,0.7268575098125657
Chrnb2,ctxsp,-0.19624248722794008
Chrnb2,hpf,-0.17116027576420714
Chrnb2,hy,0.3830733861895217
Chrnb2,mb,0.024000393513994012
Chrnb2,my,-0.4829996378042018
Chrnb2,olf,-0.5829622556306112
Chrnb2,p,-0.5627114601607694
Chrnb2,pal,-0.25960802181482956
Chrnb2,str,-0.0022678678738615355
Chrnb2,th,0.7101415034038653
