_region,Gabra1,Gabra2,Gabra3,Gabrb1,Gabrb2,Gabrg2,Htr1a,Htr2a,Htr2c,Htr7,Drd1,Drd2,Drd3,Drd4,Oprk1,Oprm1,Oprd1,Grin1,Grin2a,Grin2b,Gria1,Gria2,Adra2a,Adra2c,Chrna4,Chrnb2
cb,12.385,1.786,2.216,3.885,13.694,9.679,0.051,0.103,0.474,0.521,0.093,0.254,0.01,0.229,0.465,3.87,0.117,13.738,11.358,5.115,0.93,14.561,0.192,0.781,0.372,3.122
ctxsp,5.293,7.707,5.401,8.981,5.424,4.88,1.11,2.456,3.259,1.037,2.368,0.822,0.276,0.019,1.144,3.647,1.021,5.727,5.189,8.059,6.909,9.561,2.294,2.452,2.426,2.539
hpf,6.157,7.976,4.202,9.175,5.937,5.672,1.777,1.618,2.15,1.581,0.647,0.198,0.026,0.022,0.153,2.259,1.15,6.558,6.88,8.542,8.13,9.943,1.682,2.675,2.162,2.727
hy,5.96,6.664,5.828,8.08,5.695,6.117,0.902,1.853,3.872,3.29,0.581,1.05,0.445,0.009,2.044,3.893,0.688,6.461,5.051,7.04,7.771,8.38,2.084,1.357,1.417,3.47
isocortex,6.922,6.873,5.593,7.961,6.51,6.404,1.028,3.27,1.381,1.518,1.053,0.155,0.008,0.048,0.433,3.556,1.745,6.999,6.973,7.661,7.161,8.472,1.225,2.2,2.369,2.481
mb,6.227,6.182,5.603,8.187,5.806,5.971,1.009,1.33,4.95,2.481,0.532,1.573,0.176,0.017,1.402,3.705,0.417,6.377,5.424,7.088,7.773,8.789,1.978,1.203,2.73,3.071
my,6.153,5.743,5.654,7.583,5.705,6.654,0.741,1.225,4.614,2.643,0.186,1.356,0.088,0.03,1.234,3.733,0.786,7.755,5.735,7.114,6.206,10.597,2.113,1.53,1.92,2.898
olf,4.245,8.988,4.419,7.244,4.563,6.733,0.438,1.881,2.103,1.236,0.555,0.137,0.085,0.016,0.267,4.556,1.782,8.424,7.361,9.8,9.183,10.577,1.313,1.393,0.755,1.945
p,5.602,7.018,5.124,9.576,5.247,5.333,0.847,1.727,4.511,2.229,0.454,1.129,0.161,0.017,1.506,3.067,0.697,6.105,4.843,7.034,7.307,10.621,2.99,1.277,2.535,3.044
pal,5.62,6.915,5.097,7.85,5.75,5.662,0.852,1.654,4.416,1.886,2.196,1.33,1.648,0.012,1.882,3.696,0.783,6.347,5.403,7.282,7.841,8.912,1.157,2.369,1.074,2.368
str,5.601,7.114,4.304,7.84,5.85,5.695,0.775,1.709,4.783,1.848,2.354,1.955,1.113,0.01,1.804,3.315,1.207,6.441,5.777,7.441,7.475,8.416,1.308,2.605,0.834,2.427
th,6.27,6.016,4.767,7.816,6.047,5.999,0.197,0.578,3.921,4.222,0.641,1.504,0.498,0.098,1.494,3.415,0.153,6.734,6.057,7.27,7.043,8.486,0.827,0.7,4.561,4.684
